,,,,,Stock Count Date : 1 JAN 2026,,Counted by Seven,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,Balance at at 30 Nov 2025,,, Balane as at 31 DEC 25 , Physical stock count on 31 DEC 25 ,,,,,,,,,
,,,,,Items,UOM,QTY,Purchase,Sale, QTY , QTY per Physical , Diff , COG , Consumption , Lost , Total COG , Purchase , Remark , Action Required ,
,,Craft Beers,,Smiling Evil,Smiling Evil,Bottle,  26.00 ,0,14,  12 ,  12 ,  -   ,  574.00 ,,  -   ,  (574.00),  -   ,,,
,,#N/A,,Smirnoff - cranberry,Smirnoff - cranberry,,  1.00 ,0,,  1 ,  1 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,#N/A,,Smirnoff - rassberry vodhka,Smirnoff - rassberry vodhka,,  1.00 ,0,,  1 ,  1 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,Soft Drinks,,Soda water,Soda water,Bottle,  148.00 ,120,86,  182 ,  54 ,  (128.00),  30.46 ,  (45.33),,  (75.79),  42.50 ,Use For blending ,,
,,#N/A,,Sol de Chile - Red - Carbernet,Sol de Chile - Red - Carbernet,Bottle,  8.00 ,12,,  20 ,  16 ,  (4.00),  -   ,  (20.00),,  (20.00),  60.00 ,Use For blending ,,
,,#N/A,,Sol de Chile - white - Blanc,Sol de Chile - white - Blanc,Bottle,  5.00 ,0,,  5 ,  5 ,  -   ,  -   ,  -   ,,  -   ,  -   ,Use For blending ,,
,,Draft & Bottles,,Somersby,Somersby,Bottle,  75.00 ,72,89,  58 ,  52 ,  (6.00),  90.11 ,,  (6.08),  (96.19),  72.90 ,wrong keyin items for sale and lost,,
,,Soft Drinks,,Sprite,Sprite,Bottle,  57.00 ,120,55,  122 ,  79 ,  (43.00),  16.73 ,  (13.08),,  (29.81),  36.50 ,Use For blending ,,
x,,Vodka,,Vodka Stolichnaya 75cl - 1L,Stolichnaya,Bottle,  10.00 ,7,,  17 ,  6 ,  (11.00),  -   ,  (104.50),,  (104.50),  66.50 ,Use For blending ,,
,,,,Straw Black Big,Straw Black Big,Bottle,  -   ,0,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,Vodka,,T&T Vodka,T&T (Treid&True),,  -   ,0,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,Tequila,,Tequila gold  (expensive),Jose Cuervo Gold,Bottle,  12.00 ,0,,  12 ,  6 ,  (6.00),  -   ,  (69.00),,  (69.00),  -   ,Use For blending ,,
x,,Tequila,,Tequila gold (cheap) ,Jose Cuervo Gold,Bottle,  12.00 ,12,,  24 ,  9 ,  (15.00),  -   ,  (142.50),,  (142.50),  114.00 ,Use For blending ,,
,,Tequila,,Tequila silver (expensive),Jose Cuervo Silver,Bottle,  5.00 ,0,,  5 ,  4 ,  (1.00),  -   ,  (12.92),,  (12.92),  -   ,Use For blending ,,
,,Tequila,,Tequila silver patron,Jose Cuervo Silver,Bottle,  -   ,0,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,#N/A,,The dark side,The dark side,Bottle,  13.00 ,0,7,  6 ,  7 ,  1.00 ,  9.31 ,,  1.33 ,  (7.98),  -   ,,,
,,Draft & Bottles,,Tiger Bottle,Tiger Bottle,Bottle,  62.00 ,72,62,  72 ,  73 ,  1.00 ,  41.33 ,,  0.67 ,  (40.67),  48.00 ,wrong keyin items for sale and lost/sale at event,,
,,Draft & Bottles,,Tiger Crystal Bottle,Tiger Crystal Bottle,Bottle,  -   ,144,84,  60 ,  61 ,  1.00 ,  59.50 ,,  0.71 ,  (58.79),  102.00 ,wrong keyin items for sale and lost/sale at event,,
,,Soft Drinks,,Tonic water,Tonic water,Cans,  155.00 ,72,7,  220 ,  99 ,  (121.00),  2.48 ,  (42.85),,  (45.33),  25.50 ,Use For blending ,,
,,Craft Beers,,Tuktuk,Tuktuk,Bottle,  15.00 ,12,8,  19 ,  20 ,  1.00 ,  10.64 ,,  1.33 ,  (9.31),  15.96 ,,,
,,Wines,,Vina maipo red,VINA maipo Red,Bottle,  10.00 ,24,,  34 ,  17 ,  (17.00),  -   ,  (113.33),,  (113.33),  160.00 ,Use For blending ,,
,,Wines,,Vina maipo white,VINA maipo White,Bottle,  11.00 ,36,,  47 ,  16 ,  (31.00),  -   ,  (206.67),,  (206.67),  240.00 ,for Selling per bottle and glasses,,
New,,#N/A,,Vodka Mabooze,Vodka Mabooze,,  -   ,0,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,Use For blending ,,
